"","Education","lng","lat"
"1","Bachelor's Degree",-118.149748,33.905108
"2","Bachelor's Degree",-118.307269,33.714516
"3","Bachelor's Degree",-118.3520761,33.8403792
"4","Bachelor's Degree",-118.291659,33.708996
"5","Bachelor's Degree",-116.21368,33.751291
"6","Bachelor's Degree",-118.1038002,33.8093995
"7","Bachelor's Degree",-118.271575,33.781704
"8","Bachelor's Degree",-118.26101,33.8713399
"9","Bachelor's Degree",-118.0429128,33.7276366
"10","Bachelor's Degree",-118.138434,33.7894924
"11","Bachelor's Degree",-118.2673065,33.8139181
"12","Bachelor's Degree",-122.257796,37.814013
"13","Bachelor's Degree",-118.3989643,33.8921414
"14","Bachelor's Degree",-117.384598,33.982131
"15","Bachelor's Degree",-118.306487,33.969678
"16","Bachelor's Degree",-118.058312,34.113559
"17","Bachelor's Degree",-118.302609,33.802025
"18","Bachelor's Degree",-118.245119,33.854349
"19","Bachelor's Degree",-117.546155,33.851763
"20","Bachelor's Degree",-117.592155,33.867288
"21","Bachelor's Degree",-118.3089988,33.7914983
"22","Bachelor's Degree",-118.1733209,34.1161097
"23","Bachelor's Degree",-117.7036033,33.6491055
"24","Bachelor's Degree",-117.598134,33.960097
"25","Bachelor's Degree",-118.3995194,33.8622366
"26","Bachelor's Degree",-118.2623548,33.8880203
"27","Bachelor's Degree",-118.1914226,33.7689094
"28","Bachelor's Degree",-118.285602,33.878652
"29","Bachelor's Degree",-118.222214,33.837468
"30","Bachelor's Degree",-118.164911,34.667958
"31","Bachelor's Degree",-117.8199835,33.6701366
"32","Bachelor's Degree",-117.36928,34.005017
"33","Bachelor's Degree",-118.259869,33.799646
"34","Bachelor's Degree",-118.3497756,33.8388865
"35","Bachelor's Degree",-118.2158157,33.817759
"36","Bachelor's Degree",-118.1528957,33.7660776
"37","Bachelor's Degree",-117.898972,34.140106
"38","Bachelor's Degree",-117.189215,33.608095
"39","Bachelor's Degree",-118.301379,33.797377
"40","Bachelor's Degree",-118.201948,33.7964709
"41","Bachelor's Degree",-118.3152716,33.8351803
"42","Bachelor's Degree",-117.745048,34.1138959
